cycle,time,cost,violation,msg_count,msg_size,status
1,0.03729297802783549,4542,0,392,0,RUNNING
2,0.08284507901407778,3187,0,776,384,RUNNING
3,0.10972750897053629,2702,0,1160,768,RUNNING
4,0.16614457196556032,2265,0,1544,1152,RUNNING
5,0.1930249989964068,2073,0,1928,1536,RUNNING
6,0.22860286897048354,2050,0,2312,1920,RUNNING
7,0.27113969495985657,1938,0,2696,2304,RUNNING
8,0.31306863797362894,1938,0,3080,2688,RUNNING
9,0.34518576005939394,1926,0,3464,3072,RUNNING
10,0.3761617779964581,1846,0,3848,3456,RUNNING
11,0.41808470303658396,1743,0,4232,3840,RUNNING
12,0.4722867449745536,1743,0,4616,4224,RUNNING
13,0.5134816140634939,1743,0,5000,4608,RUNNING
14,0.5539576190058142,1743,0,5384,4992,RUNNING
15,0.5980478719575331,1743,0,5768,5376,RUNNING
16,0.6371623040176928,1743,0,6152,5760,RUNNING
17,0.6843995300587267,1743,0,6536,6144,RUNNING
18,0.7187606180086732,1743,0,6920,6528,RUNNING
19,0.7633980610407889,1743,0,7304,6912,RUNNING
20,0.7764748870395124,1743,0,7688,7296,RUNNING
20,0.790686683030799,1743,0,7688,7296,FINISHED
